4033,期刊目录| 《中国哲学史》2018年第1期中文目录,http://mp.weixin.qq.com/s?__biz=MzA4NDUwMjMxNA==&mid=2650111318&idx=8&sn=61ace5009506c6ed295402dd94cf66e1&chksm=87e7ef13b09066052ea4580d0924e596deb0bfb7453bbf6dad70b273f27f2eab6a89fe9effc9#rd,8,2018-3-16,0.0,1.0,1.0,0.0,554.0,0.0,3.0,,,,
4032,社科视频| 王巍：中华文明探源工程成果转化呈现利好,http://mp.weixin.qq.com/s?__biz=MzA4NDUwMjMxNA==&mid=2650111318&idx=7&sn=ea02fa5f160581d49fc1c162848744a1&chksm=87e7ef13b09066051d90d27094c06cf65ae8ebdf2fe21d75786728a97338090ed6f9816d74a2#rd,7,2018-3-16,0.0,1.0,1.0,0.0,188.0,1.0,1.0,,,,
4031,海外聚焦| 美国掀起贸易战 欧盟：我们不得不报复,http://mp.weixin.qq.com/s?__biz=MzA4NDUwMjMxNA==&mid=2650111318&idx=6&sn=1a672db08b88c085a1f2e68f65a204b7&chksm=87e7ef13b0906605c929790500f9673dd4622e02145dec326bb134131594d99ac2dd9118427f#rd,6,2018-3-16,0.0,1.0,1.0,1.0,123.0,0.0,0.0,,,,
4030,两会之声| 刘宁：为高级专业技术人才制定更合理的退休时间,http://mp.weixin.qq.com/s?__biz=MzA4NDUwMjMxNA==&mid=2650111318&idx=5&sn=3d3790546e6110664c35da925fe8bb91&chksm=87e7ef13b0906605f42ee6b444c9946a2875271365ae250775ad7b205bf58f4aaff324dd5713#rd,5,2018-3-16,0.0,1.0,1.0,1.0,3623.0,1.0,64.0,,,,
4029,强国方略| 王凤才：推进绿色发展 建设生态文明,http://mp.weixin.qq.com/s?__biz=MzA4NDUwMjMxNA==&mid=2650111318&idx=4&sn=aae31889756c64933ffeb7ef53da1f88&chksm=87e7ef13b09066054f2b6495eda90a6978e5e2206f17117a297ce9b3a319d1945a647e1b31d6#rd,4,2018-3-16,0.0,1.0,1.0,0.0,404.0,0.0,3.0,,,,
4028,学理大观| 奋力开创新时代中国发展新局面,http://mp.weixin.qq.com/s?__biz=MzA4NDUwMjMxNA==&mid=2650111318&idx=3&sn=19f3a626f204c75b5cb181cde16da7f0&chksm=87e7ef13b09066056436b7de312941aa41eda4651b5579a09504890c44327232ea3f5e8d5bb5#rd,3,2018-3-16,0.0,1.0,1.0,1.0,132.0,0.0,0.0,,,,
4027,学理大观| 如何理解习近平新时代中国特色社会主义法治思想,http://mp.weixin.qq.com/s?__biz=MzA4NDUwMjMxNA==&mid=2650111318&idx=2&sn=7b4d138f7f2cf7af92713aa90d90a18c&chksm=87e7ef13b0906605dc05c34afa495688f85076a47e7421c94f399e9da13c207544ee84c5a11e#rd,2,2018-3-16,0.0,1.0,1.0,0.0,774.0,0.0,4.0,,,,
4026,厉害了我的“刊”！两会代表委员点赞《世界社会主义研究》：这本期刊“有点潮”,http://mp.weixin.qq.com/s?__biz=MzA4NDUwMjMxNA==&mid=2650111318&idx=1&sn=5b770305d110ab3f07683f77e2dcdfe2&chksm=87e7ef13b090660535a4256b32890573817abd8f94b165af36de6cfe63489482ea99575b7d7d#rd,1,2018-3-16,0.0,1.0,1.0,1.0,1844.0,0.0,33.0,很有益。坚信社会主义道路！☀祝贺期刊上会！[庆祝][庆祝][庆祝]愿高举旗帜，勇往直前,4☀2,nan☀nan,nan☀nan
4025,《历史研究》2018年第1期目录,http://mp.weixin.qq.com/s?__biz=MzA4NDUwMjMxNA==&mid=2650111386&idx=8&sn=49a04751d67d81111be298b88c5b9893&chksm=87e7efdfb09066c901c7fd93498f0a3834562d23b72ede7db271a5093d1e9518e0b8582b0214#rd,8,2018-3-17,0.0,1.0,1.0,0.0,705.0,0.0,2.0,,,,
4024,理论H5| 盘点2018年全国两会教育热词,http://mp.weixin.qq.com/s?__biz=MzA4NDUwMjMxNA==&mid=2650111386&idx=7&sn=2c804b7705f11c9f6a61b14b936ec9a9&chksm=87e7efdfb09066c91ba9ceab77281e5e3bbe70e07d04a8329ba3d7da70d6df8cd702519c0113#rd,7,2018-3-17,0.0,1.0,1.0,0.0,364.0,0.0,6.0,,,,
